2026-01-28T23:48:58 | system | start_suite(parser)
2026-01-28T23:48:58 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-01-28T23:48:58 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-01-28T23:48:58 | parser | parse_result(input([twenty_,one]),status(ok),tree([tree(_39710,li([twenty_],[=c1,cfin]),li([one],[c1]))]))
2026-01-28T23:48:58 | parser | parse_result(input([forty_,seven]),status(ok),tree([tree(_40362,li([forty_],[=c1,cfin]),li([seven],[c1]))]))
2026-01-28T23:48:58 | parser | parse_result(input([six,teen]),status(fail),tree(none))
2026-01-28T23:48:58 | parser | parse_result(input([fourty_,seven]),status(fail),tree(none))
2026-01-28T23:48:58 | parser | parse_result(input([bacon]),status(fail),tree(none))
2026-01-28T23:48:58 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-01-28T23:48:58 | system | end_suite(parser)
2026-01-29T08:10:10 | system | start_suite(parser)
2026-01-29T08:10:11 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-01-29T08:10:11 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-01-29T08:10:11 | parser | parse_result(input([twenty_,one]),status(ok),tree([tree(_48676,li([twenty_],[=c1,cfin]),li([one],[c1]))]))
2026-01-29T08:10:11 | parser | parse_result(input([forty_,seven]),status(ok),tree([tree(_49328,li([forty_],[=c1,cfin]),li([seven],[c1]))]))
2026-01-29T08:10:11 | parser | parse_result(input([six,teen]),status(fail),tree(none))
2026-01-29T08:10:11 | parser | parse_result(input([fourty_,seven]),status(fail),tree(none))
2026-01-29T08:10:11 | parser | parse_result(input([bacon]),status(fail),tree(none))
2026-01-29T08:10:11 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-01-29T08:10:11 | system | end_suite(parser)
2026-02-19T19:59:49 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-02-28T06:59:14 | system | start_suite(parser)
2026-02-28T06:59:14 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-02-28T06:59:14 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-02-28T06:59:14 | parser | parse_result(input([twenty_,one]),status(ok),tree([tree(_124288,li([twenty_],[=c1,cfin]),li([one],[c1]))]))
2026-02-28T06:59:14 | parser | parse_result(input([forty_,seven]),status(ok),tree([tree(_124940,li([forty_],[=c1,cfin]),li([seven],[c1]))]))
2026-02-28T06:59:14 | parser | parse_result(input([six,teen]),status(fail),tree(none))
2026-02-28T06:59:14 | parser | parse_result(input([fourty_,seven]),status(fail),tree(none))
2026-02-28T06:59:14 | parser | parse_result(input([bacon]),status(fail),tree(none))
2026-02-28T06:59:14 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-02-28T06:59:14 | system | end_suite(parser)
2026-02-28T07:11:05 | system | start_suite(parser)
2026-02-28T07:22:47 | system | start_suite(parser)
2026-02-28T07:22:47 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-02-28T07:22:47 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-02-28T07:22:47 | parser | parse_result(input([twenty_,one]),status(ok),tree([tree(_124098,li([twenty_],[=c1,cfin]),li([one],[c1]))]))
2026-02-28T07:22:47 | parser | parse_result(input([forty_,seven]),status(ok),tree([tree(_124750,li([forty_],[=c1,cfin]),li([seven],[c1]))]))
2026-02-28T07:22:47 | parser | parse_result(input([six,teen]),status(fail),tree(none))
2026-02-28T07:22:47 | parser | parse_result(input([fourty_,seven]),status(fail),tree(none))
2026-02-28T07:22:47 | parser | parse_result(input([bacon]),status(fail),tree(none))
2026-02-28T07:22:47 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-02-28T07:22:47 | system | end_suite(parser)
2026-02-28T07:26:10 | parser | parse_result(input([four,teen]),status(ok),tree([tree(_3790,empty,tree(_3432,li([teen],[=c1,+a,cfin]),li([four],[c1,-a])))]))
2026-02-28T08:29:26 | parser | parse_result(input([seven]),status(ok),tree([li([seven],[cfin])]))
2026-02-28T08:29:39 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-02-28T08:29:45 | parser | parse_result(input([twenty_,one]),status(ok),tree([tree(_22936,li([twenty_],[=c1,cfin]),li([one],[c1]))]))
